player,matchs_chartes,ace_pct,df_pct,first_in_pct,first_won_pct,second_won_pct,bp_saved_pct,return_won_pct,winners_match,ue_match,w_ue_ratio,fh_winners_match,bh_winners_match
Kevin King,9,9.2,9.3,62.2,74.4,39.5,60.3,36.7,25.8,26.6,0.97,12.1,6.2
Magnus Norman,9,7.7,2.3,59.8,67.0,47.5,58.3,38.5,27.2,34.0,0.8,13.4,6.7
Malek Jaziri,9,5.7,2.5,54.2,67.6,49.7,50.0,34.2,18.9,24.8,0.76,9.6,5.1
Karue Sell,9,4.8,2.5,57.6,69.6,54.3,55.3,42.3,16.3,19.1,0.85,9.8,3.8
Ilya Ivashka,9,5.4,4.7,59.8,66.7,45.1,60.6,37.6,22.0,37.4,0.59,12.1,4.7
David Wheaton,8,9.2,5.9,63.5,70.3,47.3,62.2,33.4,36.4,30.0,1.21,13.1,13.2
Jelle Sels,8,5.7,1.7,62.2,64.0,54.9,59.6,35.2,17.9,28.0,0.64,11.5,2.5
Jurgen Melzer,8,4.8,3.7,63.5,60.9,47.1,50.0,29.7,17.4,29.9,0.58,7.2,5.9
J J Wolf,8,5.5,3.8,60.1,67.1,43.3,43.6,33.3,21.9,28.0,0.78,12.1,2.5
Luca Nardi,8,4.2,5.2,62.3,67.3,42.9,56.2,29.7,20.8,30.0,0.69,10.6,5.8
Lloyd Harris,8,12.3,3.8,60.8,74.6,41.5,50.9,35.7,26.8,35.1,0.76,11.2,4.1
Egor Gerasimov,8,8.5,3.1,64.3,70.7,50.3,52.6,36.2,34.4,35.9,0.96,15.4,9.2
Guy Den Ouden,8,3.9,4.9,61.4,69.1,48.4,69.0,37.0,18.9,27.0,0.7,10.8,5.1
Max Mirnyi,8,11.0,2.9,64.9,76.2,46.6,73.5,27.2,35.8,20.2,1.77,14.5,9.2
Albert Costa,8,3.0,4.1,64.6,64.8,44.0,51.9,40.0,33.4,36.1,0.92,21.2,9.2
Aaron Krickstein,8,4.8,1.3,57.4,63.7,49.1,55.8,35.4,23.9,26.8,0.89,9.5,9.5
Ricardas Berankis,8,5.6,3.8,56.8,61.7,48.1,53.5,36.0,22.5,28.9,0.78,12.0,5.5
Brad Gilbert,8,5.0,3.9,61.7,63.3,41.7,49.4,34.0,24.2,25.1,0.97,11.2,8.6
Guillermo Canas,8,7.3,4.2,57.4,67.0,47.5,50.0,32.8,19.1,21.8,0.88,11.1,3.1
Magnus Larsson,7,14.2,3.1,65.5,76.7,43.7,56.9,31.0,32.0,23.4,1.37,12.3,6.7
Lukas Lacko,7,8.3,3.4,62.7,68.5,40.4,56.9,30.8,19.0,21.0,0.9,8.7,3.3
Luca Van Assche,7,8.5,2.0,61.4,75.4,54.2,51.6,40.3,27.3,22.9,1.19,14.0,6.0
Marc Andrea Huesler,7,11.4,2.0,62.2,72.2,50.7,58.0,29.8,35.9,34.9,1.03,15.0,8.0
Igor Andreev,7,4.5,3.4,65.9,66.9,41.3,53.3,34.3,26.1,34.4,0.76,14.1,5.4
Alejandro Falla,7,4.8,1.6,61.6,65.9,47.4,53.3,26.8,19.3,27.7,0.7,9.3,5.9
Todd Woodbridge,7,5.0,6.0,56.2,66.6,47.3,48.1,35.3,24.7,28.6,0.86,12.7,7.7
Pavel Kotov,7,2.0,2.6,64.5,63.8,48.0,57.8,27.9,17.3,21.3,0.81,11.3,2.7
Maximilian Marterer,7,8.4,2.7,66.2,69.4,56.2,64.3,29.6,21.0,24.4,0.86,12.4,2.4
Mohamed Safwat,7,6.4,2.3,64.2,67.5,49.4,47.2,39.1,17.7,33.4,0.53,12.3,1.4
Mikael Pernfors,7,3.9,2.0,58.1,61.4,51.0,54.5,43.7,31.3,28.4,1.1,14.6,12.6
Juan Carlos Prado Angelo,7,3.0,3.2,58.2,63.4,48.6,47.5,40.6,21.7,42.6,0.51,12.7,5.6
Kevin Curren,7,9.7,4.0,52.2,77.3,50.1,71.6,34.5,44.0,28.0,1.57,19.0,13.4
Juan Manuel Cerundolo,7,3.1,3.6,66.9,61.7,49.5,61.7,34.4,15.3,26.9,0.57,10.4,2.1
Thomas Fabbiano,7,3.5,3.3,68.5,72.0,59.8,76.7,36.0,31.7,33.4,0.95,21.0,5.7
Andres Gomez,7,7.4,2.9,56.9,71.3,48.1,62.5,37.4,34.0,38.7,0.88,16.4,10.0
Max Purcell,7,11.5,2.1,62.6,70.7,50.9,53.2,32.5,36.9,41.1,0.9,16.1,7.4
Paradorn Srichaphan,7,11.1,4.4,56.6,73.2,54.0,48.6,34.8,30.7,27.4,1.12,12.9,8.7
Matthew Ebden,6,9.8,6.8,59.2,65.0,43.5,48.7,29.4,15.2,21.0,0.72,7.3,2.2
