id_ligne;source_fichier;page_source_pdf;ordre_dans_page;code_niveau_1;libelle_niveau_1;code_niveau_2;libelle_niveau_2;niveau_3;niveau_4;niveau_5;equipement;sypemi_mini_annees;sypemi_reference_annees;sypemi_maxi_annees;votre_proposition_mini_annees;votre_proposition_reference_annees;votre_proposition_maxi_annees;fiche_cee
96;Guide de durée de vie d'un matériel .pdf;6;37;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Chauffe-eau électrique à accumulateur, certifié NF Electricité performance de catégorie C;10;12;15;;;;
97;Guide de durée de vie d'un matériel .pdf;6;38;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Ballon de stockage d'eau chaude;15;20;22;;;;
98;Guide de durée de vie d'un matériel .pdf;6;39;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eau chaude sanitaire (chauffe-eau électrique, à gaz ou autre, vannes, tuyauteries, maintien en température);;;Calorifuge réseau ECS;20;20;25;;;;BAR-TH-131
99;Guide de durée de vie d'un matériel .pdf;6;40;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eaux usées (canalisation, pompes de relevages, fosse de séparation des graisses);;;Siphon de sol fonte à cloche;40;45;50;;;;
100;Guide de durée de vie d'un matériel .pdf;6;41;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eaux usées (canalisation, pompes de relevages, fosse de séparation des graisses);;;Séparateur à fécules;10;17;20;;;;
101;Guide de durée de vie d'un matériel .pdf;6;42;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eaux usées (canalisation, pompes de relevages, fosse de séparation des graisses);;;Séparateur à graisses;10;17;20;;;;
102;Guide de durée de vie d'un matériel .pdf;6;43;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Eaux usées (canalisation, pompes de relevages, fosse de séparation des graisses);;;Regard;40;45;50;;;;
103;Guide de durée de vie d'un matériel .pdf;6;44;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Appareillage sanitaire (cuvettes et réservoirs ou robinets de chasse pour WC, urinoirs et robinetteries, lavabos et robinetterie, siphons et divers);;;Chasse d'eau;5;8;10;;;;
104;Guide de durée de vie d'un matériel .pdf;6;45;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Appareillage sanitaire (cuvettes et réservoirs ou robinets de chasse pour WC, urinoirs et robinetteries, lavabos et robinetterie, siphons et divers);;;Appareil sanitaire;;30;;;;;
105;Guide de durée de vie d'un matériel .pdf;6;46;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Appareillage sanitaire (cuvettes et réservoirs ou robinets de chasse pour WC, urinoirs et robinetteries, lavabos et robinetterie, siphons et divers);;;Robinetterie sanitaire;10;15;20;;;;
106;Guide de durée de vie d'un matériel .pdf;6;47;A.2;Installations et équipements;A.2.1;Les installations de Plomberie Sanitaire;Appareillage sanitaire (cuvettes et réservoirs ou robinets de chasse pour WC, urinoirs et robinetteries, lavabos et robinetterie, siphons et divers);;;Siphon d'urinoir;5;10;12;;;;
107;Guide de durée de vie d'un matériel .pdf;7;1;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;;;Mise à la terre;;50;;;;;
108;Guide de durée de vie d'un matériel .pdf;7;2;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Poste et réseau Haute Tension (HT);;Cellule HTA;;30;;;;;
109;Guide de durée de vie d'un matériel .pdf;7;3;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Poste et réseau Haute Tension (HT);;Liaison HTA;;40;;;;;
110;Guide de durée de vie d'un matériel .pdf;7;4;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Poste et réseau Haute Tension (HT);;Transformateur à haut rendement pour l'alimentation basse tension d'un site tertiaire;20;30;;;;;BAT-EQ-21
111;Guide de durée de vie d'un matériel .pdf;7;5;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;TGBT;;40;;;;;
112;Guide de durée de vie d'un matériel .pdf;7;6;A.2;Installations et équipements;A.2.2;Les installations d’Electricité – Courant Fort – Courant Faible;Courant fort :;Distribution Basse Tension, TGBT, armoires divisionnaires, chemin de câbles, circuits et boîtes de dérivation, petit appareillage.;;Inverseurs de sources BT de 250 A à 1250 A;;25;;;;;
